               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.033004,            0.025432,           0.0020867,             0.90326,             0.84702,             0.90191,             0.63545,            0.029465,            0.020263,           0.0024698,           0.0023977,           0.0023977,           0.0023977
                 138,            0.032784,            0.025439,           0.0021199,             0.90948,             0.84245,             0.90126,             0.63575,            0.029478,            0.020278,           0.0024859,           0.0023323,           0.0023323,           0.0023323
                 139,            0.032348,            0.025097,           0.0020074,             0.90765,             0.84342,             0.90126,             0.63547,            0.029486,            0.020276,           0.0024886,           0.0022677,           0.0022677,           0.0022677
                 140,            0.032258,            0.025127,           0.0019784,             0.90814,             0.84336,             0.90097,             0.63599,            0.029484,            0.020276,           0.0024803,           0.0022037,           0.0022037,           0.0022037
                 141,            0.032364,            0.025103,           0.0020116,             0.90595,             0.84355,             0.90048,             0.63654,            0.029478,            0.020283,           0.0024945,           0.0021405,           0.0021405,           0.0021405
                 142,            0.032188,            0.024876,           0.0020453,             0.90539,             0.84526,             0.90047,             0.63596,            0.029473,            0.020291,           0.0025084,           0.0020779,           0.0020779,           0.0020779
                 143,             0.03235,            0.025258,           0.0021146,              0.9022,             0.84569,             0.90045,              0.6359,            0.029471,            0.020301,           0.0025021,           0.0020161,           0.0020161,           0.0020161
                 144,             0.03215,            0.024681,           0.0020383,             0.90658,             0.84306,             0.90052,             0.63616,            0.029461,            0.020308,           0.0024983,            0.001955,            0.001955,            0.001955
                 145,            0.032067,              0.0248,           0.0019798,             0.90804,             0.84158,             0.90037,             0.63667,            0.029459,            0.020319,           0.0024906,           0.0018948,           0.0018948,           0.0018948
                 146,            0.031915,            0.024893,           0.0019855,             0.90629,             0.84079,             0.90004,             0.63625,            0.029457,            0.020328,           0.0024894,           0.0018352,           0.0018352,           0.0018352
                 147,            0.032225,            0.025049,           0.0020191,             0.90728,             0.84282,              0.9007,             0.63655,            0.029448,            0.020335,           0.0024836,           0.0017765,           0.0017765,           0.0017765
